bin,dotnet_core,module
C:\$GetCurrent\media\sources\setupdiag.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\DotnetTools\dotnet-format\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\DotnetTools\dotnet-watch\9.0.103-servicing.25071.13\tools\net9.0\any\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\Extensions\dump\DumpMinitool.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\Extensions\dump\DumpMinitool.x86.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\datacollector.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\testhost.net47.x86.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\testhost.net471.x86.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\testhost.net472.x86.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\testhost.net48.x86.exe,True,mscoree.dll
C:\Program Files\dotnet\sdk\9.0.103\TestHostNetFramework\testhost.x86.exe,True,mscoree.dll
C:\Program Files\Git\mingw64\bin\git-credential-manager.exe,True,mscoree.dll
C:\Program Files\Hyper-V\InspectVhdDialog.exe,True,mscoree.dll
C:\Program Files\Hyper-V\VMCreate.exe,True,mscoree.dll
C:\Program Files\Hyper-V\VMImport.exe,True,mscoree.dll
C:\Program Files\IIS Express\IisExpressAdminCmd.exe,True,mscoree.dll
C:\Program Files\IIS Express\iisexpresstray.exe,True,mscoree.dll
C:\Program Files\Internet Explorer\iediagcmd.exe,True,mscoree.dll
C:\Program Files\Microsoft\Web Platform Installer\WebpiCmd-x64.exe,True,mscoree.dll
C:\Program Files\Microsoft\Web Platform Installer\WebpiCmd.exe,True,mscoree.dll
C:\Program Files\Microsoft\Web Platform Installer\WebPlatformInstaller.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Microsoft.VisualStudio.Web.Host.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\MSTest.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Publicize.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent32_35.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent32_40.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent_35.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTAgent_40.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTDCAgent.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\QTDCAgent32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\T4VSHostProcess.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\TextTransform.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\UserControlTestContainer.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vb7to8.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSFinalizer.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSHiveStub.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vshost-clr2.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vshost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vshost32-clr2.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vshost32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSInitializer.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSIXInstaller.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSLaunchBrowser.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\vsn.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSWebHandler.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\Asal\TokenService\Microsoft.Asal.TokenService.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\Linux\shellexec.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\Linux.TestAdapter\shellexec.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\FSharp\Tools\fsc.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\FSharp\Tools\fscAnyCpu.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\FSharp\Tools\fsi.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\FSharp\Tools\fsiAnyCpu.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\IntelliTrace\IntelliTrace.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\JSDiagnostics\Debugger\JavaScriptDebugAdapterBridge.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\Linux\Linux\shellexec.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\Linux\Linux\WSLInstallServer.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\NuGet\NuGet.Build.Tasks.Console.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\NuGet\Plugins\CredentialProvider.Microsoft\CredentialProvider.Microsoft.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\BuildNotificationApp.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\EndTask.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\TFSBuild.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\TfsDeleteProject.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\TFSSecurity.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\witadmin.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\git-credential-manager.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\vstest.console.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\Extensions\dump\DumpMinitool.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\Extensions\dump\DumpMinitool.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\datacollector.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\testhost.net47.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\testhost.net471.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\testhost.net472.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\testhost.net48.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\VsTest\TestHostNetFramework\testhost.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\VBCSharp\LanguageServices\InteractiveHost\Desktop\InteractiveHost32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\Windows.Forms\FxDesignToolsServer\x86\FxDesignToolsServer.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\Microsoft\Graphics\Debugger\EnableGraphicsTools.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\Microsoft\SQLDB\DAC\DacUnpack.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\Microsoft\SQLDB\DAC\SqlPackage.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\Microsoft\Web Tools\Languages\Microsoft.WebTools.Languages.LanguageServer.Host.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\Microsoft\Web Tools\ProjectSystem\VSIISExeLauncher.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\datacollector.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent32_35.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent32_40.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent_35.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTAgent_40.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTDCAgent.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\QTDCAgent32.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\SettingsMigrator.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\testhost.net47.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\testhost.net471.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\testhost.net472.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\testhost.net48.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\testhost.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\vstest.console.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\Extensions\VideoRecorder\VSTestVideoRecorder.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Remote Debugger\Appx\AppxDebugSysTray.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\SurfaceProcess\Wpf\Framework\x86\WpfSurface.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VC\Linux\bin\ConnectionManagerExe\ConnectionManager.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Xml\Microsoft.XslDebugger.Host.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.Host.AnyCPU.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.LiveUnitTesting.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.RoslynCodeAnalysisServiceS.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.SettingsHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.TestWindowStoreHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.ThreadedWaitDialog.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.VSDetouredHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.DataWarehouseHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.Host.netfx.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.IdentityHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuild.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuildTaskHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\csc.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\csi.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\vbc.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\VBCSCompiler.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VisualStudio\v17.0\TeamTest\Publicize.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\DiagnosticsHub\Collector\VSDiagnostics.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\Performance Tools\VSPerfReport.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\Static Analysis Tools\FxCop\FxCopCmd.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x86\vctip.exe,True,mscoree.dll
